observation_date,QJPR368BIS
1998-10-01,-2.7269000000000001
1999-01-01,-2.5747000000000000
1999-04-01,-2.7347999999999999
1999-07-01,-3.3290999999999999
1999-10-01,-2.4664999999999999
2000-01-01,-2.9834999999999998
2000-04-01,-3.0505000000000000
2000-07-01,-3.2728999999999999
2000-10-01,-3.2448999999999999
2001-01-01,-3.7126999999999999
2001-04-01,-3.5853000000000002
2001-07-01,-3.7698999999999998
2001-10-01,-3.8252000000000002
2002-01-01,-3.6496000000000000
2002-04-01,-4.3502999999999998
2002-07-01,-4.6214000000000004
2002-10-01,-5.1054000000000004
2003-01-01,-5.6604999999999999
2003-04-01,-5.9276000000000000
2003-07-01,-6.2039000000000000
2003-10-01,-6.1291000000000002
2004-01-01,-6.2831000000000001
2004-04-01,-5.9615999999999998
2004-07-01,-5.9767999999999999
2004-10-01,-6.2186000000000003
2005-01-01,-5.4005999999999998
2005-04-01,-4.9237000000000002
2005-07-01,-4.3803999999999998
2005-10-01,-3.5276999999999998
2006-01-01,-3.7046000000000001
2006-04-01,-3.4377000000000000
2006-07-01,-3.2883000000000000
2006-10-01,-2.4569000000000001
2007-01-01,-1.4390000000000001
2007-04-01,-1.0737000000000001
2007-07-01,-0.5955000000000000
2007-10-01,-1.2182999999999999
2008-01-01,-1.7034000000000000
2008-04-01,-2.5402999999999998
2008-07-01,-3.8342000000000001
2008-10-01,-3.5525000000000002
2009-01-01,-4.0999999999999996
2009-04-01,-4.1391999999999998
2009-07-01,-0.7691000000000000
2009-10-01,-0.8349000000000000
2010-01-01,1.2843000000000000
2010-04-01,2.9390999999999998
2010-07-01,2.2793999999999999
2010-10-01,2.2885000000000000
2011-01-01,1.3704000000000001
2011-04-01,0.5886000000000000
2011-07-01,0.0913000000000000
2011-10-01,-0.6832000000000000
2012-01-01,-0.8128000000000000
2012-04-01,-1.2742000000000000
2012-07-01,-1.0398000000000001
2012-10-01,-0.1901000000000000
2013-01-01,0.2027000000000000
2013-04-01,2.0063000000000000
2013-07-01,1.5902000000000001
2013-10-01,1.3654999999999999
2014-01-01,1.5369999999999999
2014-04-01,-1.9974000000000001
2014-07-01,-2.2079000000000000
2014-10-01,-1.9411000000000000
2015-01-01,0.0696000000000000
2015-04-01,1.9249000000000001
2015-07-01,2.7517000000000000
2015-10-01,1.7154000000000000
2016-01-01,1.5849000000000000
2016-04-01,3.3473999999999999
2016-07-01,2.2521000000000000
2016-10-01,2.2158000000000002
2017-01-01,3.5533000000000001
2017-04-01,1.5970000000000000
2017-07-01,1.8258000000000001
2017-10-01,1.2281000000000000
2018-01-01,0.2400000000000000
2018-04-01,1.2259000000000000
2018-07-01,0.6620000000000000
2018-10-01,1.6250000000000000
2019-01-01,2.0026000000000002
2019-04-01,1.1865000000000001
2019-07-01,0.9113000000000000
2019-10-01,0.4545000000000000
2020-01-01,-1.0955999999999999
2020-04-01,-0.8330000000000000
2020-07-01,-0.1508000000000000
2020-10-01,2.5223000000000000
2021-01-01,3.8961000000000001
2021-04-01,6.2476000000000003
2021-07-01,8.3252000000000006
2021-10-01,6.2901999999999996
2022-01-01,8.1216000000000008
2022-04-01,6.6586999999999996
2022-07-01,4.8468999999999998
2022-10-01,3.5329000000000002
2023-01-01,1.0670999999999999
2023-04-01,-0.1293000000000000
2023-07-01,-0.9750000000000000
2023-10-01,-0.8633000000000000
2024-01-01,-0.0346000000000000
2024-04-01,0.0417000000000000
2024-07-01,0.6676000000000000
